grid_num,param_name,total_return,annualized_return,annualized_sharpe,annualized_ir,average_holding_period,max_holding_amount,remaining_capital
52,**Pos: macd_x || rsi_x || z **Neg: b_bands,5.864869772526905,1.6200896497118005,3.907140548716407,-99.27229867648612,225.53465346534654,405,1143.4559497569637
19,**Pos: z **Neg: rsi_x,5.045754438386525,1.4588115906645887,2.839813115423335,-75.42327335452634,136.4257425742574,266,1403.7984936831426
43,**Pos: z **Neg: macd_x || b_bands,5.02760195386329,1.45511750306646,3.07599809397691,-82.66787996005169,208.82970297029703,413,627.0540653045075
13,**Pos: z **Neg: macd_x,5.007788725174422,1.4510790940266336,2.950453300631334,-79.09384352400592,208.75841584158417,413,626.9722360602692
22,**Pos: z **Neg: b_bands,4.948870569136736,1.4390306617869189,2.944188241680136,-79.4998681000216,174.009900990099,363,416.4961465276633
4,**Pos: z,4.948870569136736,1.4390306617869189,2.944188241680136,-79.4998681000216,174.009900990099,363,416.4961465276633
36,**Pos: z **Neg: macd_x || rsi_x,4.798944974969297,1.4080998681469374,2.8786118449296745,-78.58896012320555,182.94059405940595,386,1615.8800834451454
28,**Pos: rsi_x **Neg: macd_x || b_bands,4.751402373592986,1.3982081589372064,2.9063399120733626,-80.19156925103063,215.1009900990099,415,1810.129866591698
34,**Pos: rsi_x || z **Neg: macd_x,4.751402373592986,1.3982081589372064,2.9063399120733626,-80.19156925103063,215.1009900990099,415,1810.129866591698
59,**Pos: rsi_x || z **Neg: macd_x || b_bands,4.741426881788489,1.3961274761140086,2.9947350617729813,-82.99635396167152,215.1009900990099,415,1775.9327944417005
17,**Pos: rsi_x || z,4.655665222606924,1.3781642547576323,2.867157090456741,-79.99883706420756,181.6039603960396,383,726.2960575542038
15,**Pos: rsi_x **Neg: b_bands,4.655665222606924,1.3781642547576323,2.867157090456741,-79.99883706420756,181.6039603960396,383,726.2960575542038
46,**Pos: rsi_x || z **Neg: b_bands,4.655665222606924,1.3781642547576323,2.867157090456741,-79.99883706420756,181.6039603960396,383,726.2960575542038
57,**Pos: rsi_x || b_bands || z **Neg: macd_x,4.356787169692606,1.3144734108847755,2.6250579373468987,-75.28817498426265,204.03564356435643,413,1914.7660137881217
7,**Pos: rsi_x **Neg: macd_x,4.356787169692606,1.3144734108847755,2.6250579373468987,-75.28817498426265,204.03564356435643,413,1914.7660137881217
47,**Pos: rsi_x **Neg: b_bands || z,4.293768520482332,1.3008190977307041,2.353481444488147,-66.93297074601026,107.68316831683168,241,678.8789099820447
44,**Pos: rsi_x || b_bands || z,4.293768520482332,1.3008190977307041,2.353481444488147,-66.93297074601026,107.68316831683168,241,678.8789099820447
2,**Pos: rsi_x,4.290168646307252,1.3000366619485115,2.417509598319007,-66.7302387959476,107.42376237623762,239,678.8820456543012
41,**Pos: b_bands || z **Neg: macd_x,3.7329981145260014,1.1755454751684695,2.8370011610460812,-89.1990649221089,187.41980198019803,408,474.90820315450947
60,**Pos: b_bands || z **Neg: macd_x || rsi_x,2.54930410474617,0.8839596876648317,1.84117121350493,-68.50841915044715,165.95643564356436,378,492.21119939264725
20,**Pos: b_bands || z,2.3,0.816590212458495,3.038950381470071,-129.98967007021986,0.0,0,330000.0
48,**Pos: b_bands || z **Neg: rsi_x,2.25072845760758,0.8029776642009683,1.558364691100041,-62.35681836668172,55.366336633663366,324,25683.827097284768
